Schema Analysis Results
==================================================
Analysis Date: 2025-08-03 02:49:01
Cutoff Date: 2025-06-04 02:47:56

Schemas to migrate to /dev/sda1 (>60 days):
  alisa_FLINT_TT22_1_5fbfa306_readTest_20250409160739 - 16.00 KB - 115 days old
  alisa_FLINT_TT22_2_5fbfa306_readTest_20250409160849 - 16.00 KB - 115 days old
  alisa_FLINT_TT22_3_5fbfa306_readTest_20250409161001 - 16.00 KB - 115 days old
  alisa_FLINT_TT22_4_5fbfa306_readTest_20250409161113 - 16.00 KB - 115 days old
  alisa_FLINT_TT22_5_5fbfa306_readTest_20250409161224 - 16.00 KB - 115 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D205R10P2a_20250409161632 - 4.69 MB - 115 days old
  alisa_FLINT_TT15_0_5fbfa306_readingTST_20250409162340 - 58.77 MB - 115 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D205R10P2b_20250409163639 - 832.00 KB - 115 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D205R10P4_20250409163933 - 832.00 KB - 115 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D165R12P2a_20250409165922 - 8.42 MB - 115 days old
  maguser_FLINT_F_0_na_na_20250409172710 - 118.22 MB - 115 days old
  maguser_FLINT_F_1_na_na_20250409172710 - 118.22 MB - 115 days old
  maguser_FLINT_F_2_na_na_20250409172710 - 118.22 MB - 115 days old
  maguser_FLINT_F_3_na_na_20250409172710 - 118.22 MB - 115 days old
  maguser_FLINT_F_4_na_na_20250409172710 - 118.22 MB - 115 days old
  maguser_FLINT_F_5_na_na_20250409172710 - 118.22 MB - 115 days old
  maguser_FLINT_G_0_na_na_20250409172710 - 118.22 MB - 115 days old
  maguser_FLINT_G_1_na_na_20250409172710 - 118.22 MB - 115 days old
  maguser_FLINT_G_2_na_na_20250409172710 - 118.22 MB - 115 days old
  maguser_FLINT_G_3_na_na_20250409172710 - 118.22 MB - 115 days old
  maguser_FLINT_G_4_na_na_20250409172710 - 118.22 MB - 115 days old
  maguser_FLINT_G_5_na_na_20250409172710 - 118.22 MB - 115 days old
